Episode,Reward,Steps,Collided,Goal,Epsilon,Buffer
1,-50.0,1,1,0,0.9975,1
2,-55.05,2,1,0,0.995,3
3,-547.24,351,1,0,0.9925,354
4,-574.6,230,1,0,0.99,584
5,-50.0,1,1,0,0.9876,585
6,-935.7,570,1,0,0.9851,1155
7,-1004.99,250,1,0,0.9826,1405
8,-50.0,1,1,0,0.9802,1406
9,-246.86,126,1,0,0.9777,1532
10,-50.0,1,1,0,0.9753,1533
11,-309.89,183,1,0,0.9728,1716
12,-50.0,1,1,0,0.9704,1717
13,-90.91,9,1,0,0.968,1726
14,-60.1,3,1,0,0.9656,1729
15,-60.1,3,1,0,0.9631,1732
16,-286.84,60,1,0,0.9607,1792
17,-269.26,61,1,0,0.9583,1853
18,-428.51,111,1,0,0.9559,1964
19,-74.16,6,1,0,0.9536,1970
20,-60.4,3,1,0,0.9512,1973
21,-84.76,8,1,0,0.9488,1981
22,-344.57,306,1,0,0.9464,2287
23,-381.18,93,1,0,0.9441,2380
24,-427.46,129,1,0,0.9417,2509
25,-50.0,1,1,0,0.9393,2510
26,-272.63,409,1,0,0.937,2919
27,-50.0,1,1,0,0.9346,2920
28,-267.69,294,1,0,0.9323,3214
29,-393.82,751,1,0,0.93,3965
30,-334.79,119,1,0,0.9277,4084
31,-374.34,557,1,0,0.9253,4641
32,-495.53,626,1,0,0.923,5267
33,-198.66,218,1,0,0.9207,5485
34,-50.0,1,1,0,0.9184,5486
35,-853.26,620,1,0,0.9161,6106
36,-50.0,1,1,0,0.9138,6107
37,-70.97,5,1,0,0.9115,6112
38,-596.66,210,1,0,0.9093,6322
39,-50.0,1,1,0,0.907,6323
40,-324.0,99,1,0,0.9047,6422
41,-715.47,958,1,0,0.9025,7380
42,-495.49,1175,1,0,0.9002,8555
43,-50.0,1,1,0,0.898,8556
44,-50.0,1,1,0,0.8957,8557
45,-416.45,132,1,0,0.8935,8689
46,-50.0,1,1,0,0.8912,8690
47,-60.08,3,1,0,0.889,8693
48,-50.0,1,1,0,0.8868,8694
49,-314.95,402,1,0,0.8846,9096
50,-50.0,1,1,0,0.8824,9097
51,-307.9,542,1,0,0.8802,9639
52,-235.93,46,1,0,0.878,9685
53,-50.0,1,1,0,0.8758,9686
54,-613.3,958,1,0,0.8736,10644
55,-392.15,1024,1,0,0.8714,11668
56,-500.95,145,1,0,0.8692,11813
57,-50.0,1,1,0,0.867,11814
58,-59.95,3,1,0,0.8649,11817
59,-437.17,554,1,0,0.8627,12371
60,-415.36,111,1,0,0.8605,12482
61,-418.59,111,1,0,0.8584,12593
62,-513.12,927,1,0,0.8562,13520
63,-331.78,625,1,0,0.8541,14145
64,-50.0,1,1,0,0.852,14146
65,-50.0,1,1,0,0.8498,14147
66,-50.0,1,1,0,0.8477,14148
67,-661.99,300,1,0,0.8456,14448
68,-367.56,176,1,0,0.8435,14624
69,-367.73,97,1,0,0.8414,14721
70,-50.0,1,1,0,0.8393,14722
71,-1296.25,1000,1,0,0.8372,15722
72,-50.0,1,1,0,0.8351,15723
73,-215.52,331,1,0,0.833,16054
74,-50.0,1,1,0,0.8309,16055
75,-60.1,3,1,0,0.8288,16058
76,-50.0,1,1,0,0.8268,16059
77,-261.31,68,1,0,0.8247,16127
78,-198.95,253,1,0,0.8226,16380
79,-50.0,1,1,0,0.8206,16381
80,-349.38,109,1,0,0.8185,16490
81,-314.1,162,1,0,0.8165,16652
82,-493.21,101,1,0,0.8144,16753
83,-276.23,75,1,0,0.8124,16828
84,-50.0,1,1,0,0.8104,16829
85,-394.4,685,1,0,0.8083,17514
86,-188.52,266,1,0,0.8063,17780
87,-50.0,1,1,0,0.8043,17781
88,-393.65,537,1,0,0.8023,18318
89,-294.67,647,1,0,0.8003,18965
90,-258.71,260,1,0,0.7983,19225
