Episode,Reward,Steps,Collisions,Goal,Epsilon,Buffer
1,-14510.05,1500,963,0,0.997,1500
2,-10451.39,1500,788,0,0.994,3000
3,-15884.27,1500,995,0,0.991,4500
4,-27616.93,1500,1381,0,0.9881,6000
5,-10403.7,1500,775,0,0.9851,7500
6,-25111.64,1500,1361,0,0.9821,9000
7,-11752.48,1500,789,0,0.9792,10500
8,-11234.95,1500,825,0,0.9763,12000
9,-11480.26,1500,883,0,0.9733,13500
10,-10126.05,1500,660,0,0.9704,15000
11,-14851.08,1500,1029,0,0.9675,16500
12,-17564.27,1500,1225,0,0.9646,18000
13,-17527.92,1500,1061,0,0.9617,19500
14,-7934.83,1500,561,0,0.9588,21000
15,-15367.55,1500,988,0,0.9559,22500
16,-11849.09,1500,897,0,0.9531,24000
17,-9786.32,1500,701,0,0.9502,25500
18,-7367.71,1328,591,1,0.9474,26828
19,-17297.32,1500,955,0,0.9445,28328
20,-18624.6,1500,1245,0,0.9417,29828
21,-12312.59,1500,911,0,0.9389,31328
22,-7589.09,1500,561,0,0.936,32828
23,-9655.1,1500,677,0,0.9332,34328
24,-10077.35,1500,757,0,0.9304,35828
25,-13397.45,1500,854,0,0.9276,37328
26,-12644.1,1500,903,0,0.9249,38828
27,-8903.66,1500,667,0,0.9221,40328
28,-11122.51,1500,753,0,0.9193,41828
29,-13051.99,1500,909,0,0.9166,43328
30,-9196.94,1345,730,1,0.9138,44673
31,-9839.86,1500,760,0,0.9111,46173
32,-20199.49,1500,1091,0,0.9083,47673
33,-17724.91,1500,1001,0,0.9056,49173
34,-10079.92,1500,710,0,0.9029,50673
35,-11770.89,1500,827,0,0.9002,52173
36,-17904.97,1500,1311,0,0.8975,53673
37,-10454.12,1500,774,0,0.8948,55173
38,-21091.24,1500,1354,0,0.8921,56673
39,-19607.94,1500,1308,0,0.8894,58173
40,-20852.27,1500,1345,0,0.8868,59673
41,-11929.32,1500,783,0,0.8841,61173
42,-19133.78,1500,948,0,0.8814,62673
43,-14090.68,1500,894,0,0.8788,64173
44,-17176.89,1500,768,0,0.8762,65673
45,-19230.7,1500,1303,0,0.8735,67173
46,-18490.75,1500,1291,0,0.8709,68673
47,-15291.1,1500,823,0,0.8683,70173
48,-19792.31,1500,1305,0,0.8657,71673
49,-23056.06,1500,1388,0,0.8631,73173
50,-11756.05,1500,753,0,0.8605,74673
51,-11656.52,1500,865,0,0.8579,76173
52,-20307.01,1500,1358,0,0.8554,77673
53,-19157.81,1500,1329,0,0.8528,79173
54,-12839.23,1500,917,0,0.8502,80673
55,-20100.96,1500,1068,0,0.8477,82173
56,-6805.73,1500,514,0,0.8451,83673
57,-11484.63,1500,777,0,0.8426,85173
58,-18414.66,1500,1136,0,0.8401,86673
59,-18748.9,1500,1317,0,0.8376,88173
60,-18353.54,1500,1096,0,0.835,89673
61,-20128.13,1500,1288,0,0.8325,91173
62,-13876.9,1500,832,0,0.83,92673
63,-16893.05,1500,1183,0,0.8276,94173
64,-16200.82,1500,1128,0,0.8251,95673
65,-11068.81,1500,779,0,0.8226,97173
66,-18989.22,1500,1145,0,0.8201,98673
67,-10365.02,1500,758,0,0.8177,100173
68,-7928.45,1367,637,1,0.8152,101540
69,-20552.54,1500,1338,0,0.8128,103040
70,-20865.79,1500,1280,0,0.8103,104540
71,-20769.4,1500,1345,0,0.8079,106040
72,-17906.56,1500,1184,0,0.8055,107540
73,-16475.79,1500,821,0,0.8031,109040
74,-14813.68,1500,868,0,0.8006,110540
75,-14240.94,1500,822,0,0.7982,112040
76,-10556.8,1500,747,0,0.7959,113540
77,-12862.72,1500,964,0,0.7935,115040
78,-20191.29,1500,1311,0,0.7911,116540
79,-17220.47,1500,1246,0,0.7887,118040
80,-11335.11,1500,837,0,0.7863,119540
81,-14854.53,1500,1018,0,0.784,121040
82,-14112.97,1500,1013,0,0.7816,122540
83,-15330.29,1500,1127,0,0.7793,124040
84,-21839.33,1500,1258,0,0.777,125540
85,-10635.28,1500,790,0,0.7746,127040
86,-18729.84,1500,1292,0,0.7723,128540
87,-20681.85,1500,1400,0,0.77,130040
88,-14009.26,1500,1017,0,0.7677,131540
89,-9218.32,1500,672,0,0.7654,133040
90,-17354.44,1500,1247,0,0.7631,134540
91,-14574.83,1500,852,0,0.7608,136040
92,-20798.94,1500,1255,0,0.7585,137540
93,-11232.81,1500,655,0,0.7562,139040
94,-10657.89,1419,846,1,0.754,140459
95,-10049.77,1500,620,0,0.7517,141959
96,-13635.09,1500,700,0,0.7494,143459
97,-14692.36,1500,1035,0,0.7472,144959
98,-15462.45,1500,1042,0,0.7449,146459
99,-8712.87,1500,623,0,0.7427,147959
100,-16042.78,1500,890,0,0.7405,149459
