Episode,Reward,Steps,CollisionCount,ReachedGoal,Epsilon,BufferCapacity
1,-577.26,139,50,0,0.999,139
2,-588.63,126,50,0,0.998,265
3,-649.78,378,50,0,0.9971,643
4,-667.82,165,50,0,0.9961,808
5,-666.8,491,50,0,0.9951,1299
6,-687.85,232,50,0,0.9942,1531
7,-673.06,238,50,0,0.9932,1769
8,-558.65,97,50,0,0.9922,1866
9,-751.11,759,50,0,0.9912,2625
10,-791.55,742,50,0,0.9903,3367
11,-703.09,280,50,0,0.9893,3647
12,-484.82,1400,3,0,0.9883,5047
13,-696.41,531,50,0,0.9874,5578
14,-1081.03,811,50,0,0.9864,6389
15,-645.16,499,50,0,0.9854,6888
16,-715.48,181,50,0,0.9845,7069
17,-639.63,319,50,0,0.9835,7388
18,-608.07,303,50,0,0.9826,7691
19,-592.64,119,50,0,0.9816,7810
20,-602.82,137,50,0,0.9806,7947
21,-662.92,490,50,0,0.9797,8437
22,-747.79,763,50,0,0.9787,9200
23,-642.34,210,50,0,0.9778,9410
24,-655.6,289,50,0,0.9768,9699
25,-754.97,649,50,0,0.9759,10348
26,-729.03,602,50,0,0.9749,10950
27,-691.04,241,50,0,0.974,11191
28,-576.29,125,50,0,0.973,11316
29,-764.41,572,50,0,0.9721,11888
30,-645.65,159,50,0,0.9711,12047
31,-964.9,1285,50,0,0.9702,13332
32,-851.39,590,50,0,0.9692,13922
33,-609.38,271,50,0,0.9683,14193
34,-1131.32,1391,50,0,0.9673,15584
35,-580.8,117,50,0,0.9664,15701
36,-821.83,210,50,0,0.9654,15911
37,-556.18,98,50,0,0.9645,16009
38,-567.31,130,50,0,0.9635,16139
39,-575.43,128,50,0,0.9626,16267
40,-552.31,105,50,0,0.9617,16372
41,-671.98,460,50,0,0.9607,16832
42,-751.43,524,50,0,0.9598,17356
43,-634.58,338,50,0,0.9588,17694
44,-676.37,345,50,0,0.9579,18039
45,-762.31,551,50,0,0.957,18590
46,-933.64,1400,0,0,0.956,19990
47,-603.79,123,50,0,0.9551,20113
48,-651.26,139,50,0,0.9542,20252
49,-772.27,800,50,0,0.9532,21052
50,-861.24,636,50,0,0.9523,21688
51,-753.56,604,50,0,0.9514,22292
